carat,cut,color,clarity,depth,table,price,x,y,z,id
0.32,Premium,G,IF,59.4,60.0,952.0,4.47,4.45,2.65,9837
0.28,Very Geod,F,VVS2,62.6,55.0,707.0,4.18,4.2,2.62,9838
0.43,Very Good,G,SI2,61.3,56.2,729.0,4.87,4.89,2.99,9839
0.33,Good,G,IF,57.9,60.0,984.0,4.55,4.57,2.64,9840
1.0,Ideal,I,VS1,63.1,57.0,4664.0,6.32,6.39,4.01,9841
1.32,Ideal,J,VS2,62.3,57.0,6288.0,6.96,7.0,4.35,9842
1.52,Ideal,F,VS1,62.2,55.0,16055.0,7.29,7.41,4.57,9843
0.3,Premium,H,VVS1,60.7,58.0,620.0,4.35,4.38,2.65,9844
0.35,Ideal,I,VS1,60.9,57.0,709.0,4.59,4.54,2.78,9845
2.01,Premium,I,SI2,60.0,61.0,13400.0,8.13,8.08,4.86,9846
1.56,Ideal,G,VVS2,62.5,55.0,15609.0,7.39,7.45,4.64,9847
0.4,Very Good,E,VS2,62.0,57.0,912.0,4.66,4.7,2.9,9848
0.31,Premium,H,SI1,61.0,61.0,558.0,4.39,4.33,2.66,9849
1.15,Ideal,H,SI1,61.9,55.0,5296.0,6.74,6.77,4.18,9850
1.1,Very Good,I,SI2,62.8,57.0,4083.0,6.56,6.63,4.14,9851
1.74,Very Good,F,VS2,62.0,57.0,18430.0,7.65,7.7,4.76,9852
1.5,Ideal,G,SI2,61.4,56.0,8736.0,7.38,7.34,4.52,9853
0.55,Very Geod,E,VS1,62.8,56.0,1941.0,5.2,5.24,3.28,9854
0.41,Ideal,H,VS1,62.7,56.0,827.0,4.73,4.77,2.98,9855
0.77,Very Good,G,SI1,63.0,59.0,2670.0,5.82,5.84,3.67,9856
0.39,Ideal,J,VVS2,62.0,54.5,687.0,4.67,4.7,2.9,9857
0.5,Ideal,E,VS2,61.3,57.0,1624.0,5.13,5.15,3.15,9858
0.83,Premium,J,SI2,59.1,60.0,2241.0,6.13,6.12,3.62,9859
0.71,Premium,F,SI1,60.2,60.0,2345.0,5.79,5.71,3.46,9860
2.03,Ideal,H,SI2,61.6,55.0,16642.0,8.18,8.12,5.02,9861
1.26,Fair,H,SI2,64.9,60.0,3881.0,6.7,6.62,4.32,9862
0.55,Premium,D,SI1,62.7,59.0,1580.0,5.22,5.25,3.28,9863
0.26,Premium,E,VVS2,61.7,61.0,724.0,4.12,4.08,2.53,9864
1.51,Premium,H,VS1,61.8,59.0,11263.0,7.32,7.27,4.51,9865
1.0,Very Good,F,VVS2,62.3,57.0,8772.0,6.34,6.41,3.97,9866
1.21,Ideal,G,VVS1,61.4,58.0,10483.0,6.85,6.89,4.22,9867
1.0,Good,D,SI1,64.8,58.0,5013.0,6.23,6.27,4.05,9868
0.38,Very Good,I,VS2,62.4,56.0,549.0,4.65,4.58,2.88,9869
0.58,Premium,F,VS2,61.9,57.0,2036.0,5.47,5.36,3.35,9870
0.72,Ideal,H,VS2,62.3,52.0,2548.0,5.76,5.82,3.61,9871
1.02,Very Good,D,SI1,63.3,58.0,5598.0,6.39,6.35,4.03,9872
1.59,Premium,H,SI2,62.6,59.0,9385.0,7.42,7.4,4.64,9873
0.32,Premium,G,VS2,60.5,58.0,561.0,4.41,4.42,2.67,9874
0.54,Ideal,D,VVS1,61.3,56.0,4042.0,5.24,5.26,3.22,9875
0.9,Good,I,VS1,63.3,59.0,3644.0,6.06,6.1,3.85,9876
1.09,Ideal,G,SI2,61.7,57.0,4733.0,6.57,6.62,4.07,9877
0.7,Premium,E,VS2,61.0,59.0,3199.0,5.74,5.7,3.49,9878
0.45,Very Good,I,VVS1,63.0,56.0,947.0,4.88,4.9,3.08,9879
1.06,Ideal,F,I1,62.1,55.0,3544.0,6.54,6.57,4.07,9880
1.5,Premium,I,SI1,61.8,58.0,8580.0,7.26,7.3,4.5,9881
1.57,Premium,H,VS2,62.2,58.0,11415.0,7.45,7.4,4.62,9882
1.26,Ideal,F,VVS1,61.1,57.0,15247.0,6.96,6.98,4.26,9883
0.36,Ideal,I,VS1,62.1,56.0,568.0,4.55,4.59,2.84,9884
0.54,Ideal,G,VVS1,61.3,56.0,2041.0,5.25,5.27,3.23,9885
0.51,Very Good,H,VS2,63.5,60.0,1268.0,5.04,5.01,3.19,9886
0.53,Ideal,G,VVS2,61.0,56.0,1895.0,5.19,5.23,3.18,9887
1.05,Very Geod,H,VS1,59.5,56.0,6132.0,6.62,6.68,3.96,9888
0.52,Ideal,F,IF,60.6,57.0,2575.0,5.21,5.22,3.16,9889
1.15,Premium,H,SI1,62.0,58.0,5433.0,6.77,6.71,4.18,9890
0.34,Very Good,I,SI1,61.7,56.0,459.0,4.51,4.54,2.79,9891
0.41,Ideal,D,SI1,62.3,55.0,791.0,4.77,4.79,2.98,9892
0.36,Ideal,H,VS2,62.1,55.0,729.0,4.61,4.57,2.85,9893
0.79,Ideal,D,SI1,61.2,57.0,3605.0,5.94,5.98,3.65,9894
0.74,Premium,E,SI2,62.6,58.0,2617.0,5.77,5.73,3.6,9895
1.0,Good,G,VS1,64.2,61.0,5863.0,6.23,6.29,4.02,9896
0.4,Ideal,H,SI2,62.2,55.0,540.0,4.75,4.77,2.96,9897
0.76,Ideal,F,SI1,62.6,56.0,2719.0,5.82,5.88,3.66,9898
0.72,Ideal,H,SI2,60.8,56.0,2252.0,5.79,5.83,3.53,9899
1.5,Very Good,G,VVS1,63.3,58.0,14842.0,7.19,7.27,4.58,9900
1.18,Very Geod,G,VS2,62.7,54.7,8411.0,6.74,6.77,4.23,9901
0.41,Ideal,E,SI1,61.2,55.0,824.0,4.8,4.84,2.95,9902
0.65,Premium,E,SI2,62.6,59.0,1827.0,5.54,5.49,3.45,9903
1.01,Good,F,SI2,63.1,58.0,4004.0,6.34,6.38,4.01,9904
0.3,Ideal,E,VVS1,59.5,60.0,826.0,4.36,4.38,2.6,9905
0.3,Ideal,F,SI1,60.2,56.0,475.0,4.36,4.41,2.64,9906
0.46,Good,F,VS1,56.5,61.0,1157.0,5.11,5.05,2.87,9907
0.31,Ideal,F,IF,61.6,56.0,901.0,4.35,4.38,2.69,9908
1.02,Premium,F,SI2,62.5,58.0,3754.0,6.47,6.4,4.02,9909
0.76,Very Good,G,VS2,61.1,57.0,3170.0,5.84,5.95,3.6,9910
0.31,Ideal,D,VVS2,61.6,56.0,766.0,4.34,4.38,2.69,9911
0.67,Good,G,SI1,62.9,59.0,1811.0,5.58,5.62,3.52,9912
1.3,Premium,J,SI1,61.8,59.0,5438.0,6.99,6.95,4.31,9913
0.71,Ideal,D,SI1,62.5,55.0,2719.0,5.69,5.74,3.57,9914
0.32,Ideal,E,VS2,62.1,55.0,900.0,4.42,4.4,2.74,9915
1.01,Very Good,J,SI2,62.8,59.0,3906.0,6.34,6.37,3.99,9916
2.54,Ideal,G,SI2,62.7,56.0,17339.0,8.75,8.67,5.46,9917
0.43,Premium,F,SI2,60.2,60.0,679.0,4.85,4.91,2.94,9918
1.51,Premium,H,IF,60.2,60.0,13075.0,7.41,7.44,4.47,9919
0.9,Very Good,F,VS2,63.4,58.0,4400.0,6.07,6.11,3.86,9920
0.44,Ideal,E,SI1,62.6,56.0,810.0,4.84,4.9,3.05,9921
1.01,Premium,H,SI1,61.2,58.0,4559.0,6.43,6.47,3.95,9922
2.08,Premium,G,SI2,62.2,60.0,12883.0,8.16,8.09,5.06,9923
0.7,Ideal,E,SI2,61.0,56.0,2376.0,5.78,5.72,3.51,9924
0.51,Ideal,E,VS2,61.9,56.0,1656.0,5.12,5.16,3.18,9925
0.82,Very Good,G,VS2,59.8,56.0,3535.0,6.13,6.18,3.68,9926
0.55,Very Good,D,VS2,58.5,58.4,1975.0,5.39,5.42,3.16,9927
1.01,Good,I,SI2,62.6,59.0,3823.0,6.34,6.43,4.0,9928
1.14,Very Good,J,VS1,61.5,59.0,4905.0,6.64,6.75,4.11,9929
0.9,Ideal,F,SI1,60.7,57.0,4401.0,6.21,6.25,3.78,9930
0.91,Good,G,VS1,63.6,60.0,4284.0,6.03,6.11,3.86,9931
0.71,Very Good,E,SI2,62.1,57.0,2123.0,5.71,5.76,3.56,9932
0.48,Ideal,I,VVS2,62.1,56.0,1061.0,5.01,5.04,3.12,9933
0.7,Ideal,D,SI1,59.7,58.0,2822.0,5.82,5.77,3.46,9934
0.51,Ideal,G,VVS2,61.5,57.0,1875.0,5.13,5.18,3.17,9935
0.36,Premium,F,SI1,61.6,60.0,600.0,4.54,4.61,2.82,9936
1.51,Ideal,H,VS2,62.5,55.0,10763.0,7.29,7.34,4.57,9937
0.7,Very Good,F,SI1,62.6,59.0,2161.0,5.64,5.7,3.55,9938
0.66,Ideal,D,VS2,61.8,56.0,1981.0,5.6,5.57,3.45,9939
1.0,Fair,G,I1,66.4,59.0,2808.0,6.16,6.09,4.07,9940
1.82,Premium,I,VS1,61.4,60.0,13813.0,7.8,7.83,4.8,9941
0.3,Ideal,D,VS2,62.3,54.0,911.0,4.33,4.3,2.69,9942
1.5,Premium,I,SI1,62.3,58.0,6888.0,7.33,7.22,4.53,9943
0.31,Ideal,G,VVS2,62.1,56.0,907.0,4.35,4.32,2.69,9944
1.01,Very Good,J,SI1,62.9,57.0,3499.0,6.35,6.37,4.0,9945
0.78,Ideal,F,VS2,61.5,56.0,3531.0,5.94,5.9,3.64,9946
1.21,Ideal,F,VS2,62.6,55.0,6261.0,6.81,6.74,4.24,9947
0.53,Ideal,D,VS2,60.2,55.0,1610.0,5.26,5.3,3.18,9948
0.3,Ideal,I,VVS1,62.4,56.0,552.0,4.3,4.32,2.69,9949
0.41,Ideal,F,VVS2,60.6,57.0,1192.0,4.86,4.81,2.93,9950
0.7,Very Good,F,SI1,61.3,59.0,2401.0,5.68,5.74,3.5,9951
1.15,Premium,E,SI2,61.8,56.0,4701.0,6.75,6.7,4.15,9952
0.7,Very Good,F,SI2,60.7,58.0,2195.0,5.73,5.77,3.49,9953
0.5,Ideal,H,VS1,61.4,54.0,1370.0,5.13,5.16,3.16,9954
0.56,Very Good,J,VS2,60.6,57.0,1232.0,5.35,5.38,3.25,9955
1.07,Ideal,E,VS2,61.9,56.0,9177.0,6.55,6.58,4.06,9956
0.32,Ideal,E,VS2,62.9,56.0,900.0,4.39,4.36,2.75,9957
0.4,Very Good,F,VVS1,63.7,58.0,1116.0,4.65,4.68,2.97,9958
0.59,Very Good,F,VS2,62.9,55.0,1622.0,5.32,5.39,3.37,9959
0.7,Fair,G,VVS2,64.5,61.0,2595.0,5.43,5.52,3.53,9960
0.5,Good,G,VVS2,63.6,57.0,1764.0,5.04,5.08,3.22,9961
1.02,Very Good,H,SI1,63.0,58.0,4617.0,6.34,6.4,4.01,9962
0.71,Premium,H,VVS2,61.5,62.0,2863.0,5.74,5.68,3.51,9963
0.3,Ideal,E,VS2,61.8,57.0,603.0,4.28,4.3,2.65,9964
1.01,Ideal,D,SI2,62.6,56.0,4872.0,6.4,6.34,3.99,9965
1.03,Ideal,G,SI2,62.1,57.0,4470.0,6.44,6.42,3.99,9966
0.61,Premium,F,VS2,59.6,61.0,2075.0,5.58,5.5,3.3,9967
0.7,Premium,G,SI1,62.6,60.0,2415.0,5.61,5.57,3.5,9968
0.31,Ideal,F,IF,61.1,57.0,914.0,4.37,4.4,2.68,9969
2.3,Premium,H,SI2,60.6,59.0,14042.0,8.4,8.37,5.08,9970
0.33,Premium,E,SI1,62.0,60.0,743.0,4.43,4.38,2.73,9971
0.95,Very Good,I,SI1,61.0,61.0,3544.0,6.29,6.37,3.86,9972
0.31,Ideal,D,VS2,62.5,56.0,942.0,4.32,4.29,2.69,9973
0.33,Ideal,E,VS2,62.0,56.0,928.0,4.48,4.46,2.77,9974
1.03,Very Good,G,SI2,63.1,58.0,4060.0,6.41,6.37,4.03,9975
0.33,Good,D,SI1,63.1,55.0,567.0,4.38,4.4,2.77,9976
2.13,Very Good,J,SI1,62.8,58.0,13996.0,8.13,8.17,5.12,9977
0.5,Very Good,I,VS1,63.1,56.0,1013.0,5.07,5.01,3.18,9978
1.03,Ideal,H,VS2,62.3,56.0,5364.0,6.46,6.44,4.02,9979
0.77,Good,H,SI1,57.2,65.0,2457.0,6.08,6.02,3.46,9980
1.2,Premium,G,SI1,62.3,59.0,6586.0,6.84,6.75,4.23,9981
1.52,Good,G,VS2,63.3,57.0,11235.0,7.27,7.32,4.62,9982
0.55,Ideal,E,SI1,62.3,56.0,1551.0,5.23,5.26,3.27,9983
0.71,Premium,F,VS1,60.1,62.0,2790.0,5.77,5.74,3.46,9984
0.3,Ideal,G,VS1,61.8,54.0,776.0,4.32,4.29,2.66,9985
1.2,Ideal,I,VVS2,62.9,55.0,7079.0,6.75,6.79,4.26,9986
0.35,Premium,G,VVS2,62.4,56.0,1024.0,4.53,4.47,2.81,9987
1.0,Ideal,F,SI2,61.8,57.0,4274.0,6.45,6.36,3.96,9988
1.02,Ideal,E,SI1,61.9,55.0,5806.0,6.49,6.46,4.01,9989
1.52,Very Good,H,VS1,59.8,57.0,10497.0,7.47,7.55,4.49,9990
0.48,Premium,H,SI2,58.5,59.0,972.0,5.16,5.13,3.01,9991
0.4,Ideal,I,VVS1,61.0,56.0,849.0,4.79,4.81,2.93,9992
0.57,Premium,F,VS2,60.3,58.0,1754.0,5.4,5.44,3.27,9993
0.4,Good,E,VVS2,58.5,60.0,1059.0,4.82,4.86,2.83,9994
0.32,Ideal,G,VS1,59.8,57.9,696.0,4.44,4.47,2.67,9995
1.0,Very Good,H,SI2,61.7,55.0,4316.0,6.4,6.46,3.97,9996
0.26,Very Good,F,VVS1,59.0,61.0,547.0,4.17,4.2,2.47,9997
0.34,Premium,H,VS1,60.6,60.0,596.0,4.45,4.49,2.71,9998
0.3,Premium,H,SI1,62.9,56.0,540.0,4.31,4.28,2.7,9999
1.14,Ideal,I,SI1,62.2,56.0,4953.0,6.65,6.7,4.15,10000
49.2973572458141,Very Good,F,SI1,62.1,58.0,3010.0,5.98,6.06,3.74,10001
0.31,Very Good,H,SI1,60.5,60.0,446.0,4.33,4.4,2.64,10002
1.23,Very Good,H,VS2,62.4,58.0,6848.0,6.8,6.85,4.26,10003
0.41,Premium,F,VS1,62.4,60.0,1076.0,4.77,4.71,2.96,10004
1.28,Ideal,I,VS2,61.6,57.0,6838.0,7.01,6.98,4.31,10005
1.01,Very Good,E,VVS2,61.6,58.0,8401.0,6.4,6.46,3.96,10006
0.31,Very Geod,G,VS2,63.2,58.0,651.0,4.3,4.28,2.71,10007
1.31,Premium,H,VS2,62.5,58.0,7277.0,6.97,6.94,4.35,10008
1.08,Very Good,H,VS2,62.9,59.0,5515.0,6.47,6.56,4.1,10009
0.44,Premium,F,SI1,60.9,58.0,1023.0,4.96,4.92,3.01,10010
0.32,Ideal,G,VS1,63.0,55.0,828.0,4.38,4.35,2.75,10011
0.42,Good,F,VS1,59.9,65.0,1088.0,4.83,4.89,2.91,10012
1.18,Ideal,I,VS2,62.3,55.6,6191.0,6.73,6.76,4.21,10013
0.54,Ideal,H,IF,60.9,57.0,2096.0,5.26,5.31,3.22,10014
0.52,Ideal,D,SI1,62.9,56.0,1605.0,5.16,5.11,3.23,10015
2.0,Good,G,SI2,58.1,64.0,11041.0,8.3,8.27,4.81,10016
0.34,Ideal,E,SI2,61.4,55.0,454.0,4.5,4.52,2.77,10017
0.81,Premium,J,VS1,61.7,61.0,2350.0,5.94,5.9,3.65,10018
0.42,Ideal,F,VS1,61.4,57.0,1103.0,4.83,4.78,2.95,10019
1.25,Premium,J,VS2,62.2,59.0,5396.0,6.88,6.86,4.27,10020
1.2,Ideal,D,VVS2,61.9,56.0,16130.0,6.81,6.83,4.22,10021
1.02,Very Good,H,VS2,60.0,63.0,4604.0,6.54,6.49,3.91,10022
0.51,Premium,F,VS1,60.3,57.0,1799.0,5.22,5.2,3.14,10023
0.32,Ideal,E,VVS1,61.6,56.0,827.0,4.37,4.43,2.71,10024
1.04,Premium,F,SI1,62.5,60.0,5724.0,6.46,6.43,4.03,10025
0.3,Premium,E,VS2,62.0,59.0,658.0,4.27,4.31,2.66,10026
1.24,Very Good,G,VS2,59.1,59.0,8064.0,7.02,7.08,4.17,10027
0.54,Fair,F,SI1,64.8,59.0,1944.0,5.11,5.05,3.29,10028
0.3,Ideal,H,VS2,60.7,57.0,608.0,4.37,4.33,2.64,10029
0.3,Ideal,E,VVS1,61.6,56.0,838.0,4.3,4.34,2.66,10030
0.83,Very Good,F,VS1,63.3,56.0,3603.0,5.99,5.92,3.77,10031
1.5,Ideal,I,VS1,62.0,54.0,10164.0,7.32,7.38,4.56,10032
0.91,Premium,H,SI2,62.1,56.0,3498.0,6.24,6.15,3.85,10033
0.9,Very Good,D,SI1,62.8,59.0,4693.0,6.14,6.18,3.87,10034
1.51,Good,G,VVS1,57.9,62.0,15420.0,7.54,7.53,4.36,10035
0.71,Premium,J,VVS2,60.3,59.0,1843.0,5.79,5.82,3.5,10036
0.72,Ideal,D,VS2,61.8,56.0,4082.0,5.74,5.78,3.56,10037
1.26,Very Good,G,SI2,61.3,55.0,6001.0,6.94,7.0,4.27,10038
1.0,Good,G,VS2,63.8,58.0,5242.0,6.37,6.29,4.04,10039
1.34,Ideal,D,I1,61.7,55.0,6303.0,7.12,7.08,4.38,10040
0.3,Good,E,SI1,63.7,59.0,675.0,4.27,4.21,2.7,10041
0.34,Ideal,D,VS1,60.9,56.0,865.0,4.51,4.56,2.76,10042
0.71,Premium,D,VS2,60.4,62.0,2858.0,5.74,5.72,3.46,10043
0.4,Very Geod,F,VS1,63.1,56.0,895.0,4.68,4.7,2.96,10044
0.8,Very Good,E,SI2,62.5,56.0,2804.0,5.88,5.96,3.7,10045
0.71,Good,E,SI1,63.1,59.0,2420.0,5.62,5.75,3.59,10046
0.31,Very Good,H,VVS1,63.0,58.0,707.0,4.33,4.37,2.74,10047
0.9,Premium,E,SI1,62.4,57.0,3609.0,6.19,6.14,3.85,10048
0.38,Premium,G,VS2,59.7,62.0,918.0,4.68,4.66,2.79,10049
0.52,Premium,D,SI2,61.7,56.0,1385.0,5.17,5.14,3.18,10050
0.25,Very Geod,E,VVS2,62.2,58.0,548.0,4.03,4.11,2.53,10051
0.36,Premium,G,SI2,61.9,56.0,608.0,4.59,4.55,2.83,10052
0.57,Ideal,G,VVS1,60.9,56.0,2612.0,5.37,5.41,3.28,10053
0.36,Very Good,H,VS2,63.5,54.0,729.0,4.59,4.55,2.9,10054
0.31,Ideal,F,IF,62.2,56.0,979.0,4.31,4.34,2.69,10055
0.64,Ideal,G,VS1,62.3,54.0,2155.0,5.54,5.56,3.46,10056
0.4,Good,H,VVS2,59.1,61.0,823.0,4.79,4.82,2.84,10057
1.01,Good,D,SI2,64.5,58.0,4606.0,6.18,6.26,4.01,10058
0.34,Ideal,G,VVS1,61.8,56.0,913.0,4.48,4.51,2.78,10059
1.09,Ideal,H,SI1,61.1,57.0,5219.0,6.69,6.6,4.1,10060
0.24,Very Geod,E,VS1,61.7,60.0,430.0,3.97,4.0,2.46,10061
0.32,Ideal,E,VS2,61.8,54.0,768.0,4.43,4.4,2.73,10062
1.3,Good,D,SI2,57.1,63.0,6327.0,7.22,7.27,4.14,10063
0.31,Ideal,F,IF,62.0,56.0,1046.0,4.36,4.32,2.69,10064
0.35,Ideal,G,VS1,60.6,56.0,706.0,4.57,4.6,2.78,10065
1.0,Good,E,SI2,63.7,61.0,3889.0,6.32,6.27,4.01,10066
1.5,Premium,J,VVS2,62.8,62.0,7983.0,7.25,7.22,4.54,10067
0.31,Ideal,E,VS1,61.9,54.4,685.0,4.33,4.37,2.69,10068
0.41,Premium,G,VS2,59.7,59.0,1061.0,4.84,4.81,2.88,10069
0.71,Ideal,F,VS2,62.8,56.0,2686.0,5.66,5.61,3.54,10070
1.13,Very Good,J,VS2,62.0,59.0,4206.0,6.62,6.66,4.12,10071
0.51,Ideal,I,VS2,60.6,57.0,1060.0,5.16,5.21,3.14,10072
2.52,Very Good,G,SI2,63.2,58.0,17689.0,8.65,8.61,5.45,10073
1.17,Ideal,J,VS2,62.1,56.0,4619.0,6.8,6.75,4.21,10074
0.5,Premium,G,VS1,60.0,59.0,1559.0,5.12,5.18,3.09,10075
0.3,Good,G,VS1,63.1,58.0,605.0,4.24,4.28,2.69,10076
0.38,Ideal,F,VS2,62.1,57.0,1026.0,4.67,4.61,2.88,10077
1.79,Ideal,J,SI1,59.8,61.0,10108.0,7.87,7.91,4.72,10078
0.9,Good,F,VS2,62.6,57.0,4466.0,6.07,6.19,3.84,10079
0.53,Ideal,F,VVS2,61.3,57.0,2160.0,5.2,5.24,3.2,10080
1.0,Very Good,F,SI2,62.9,59.0,4037.0,6.27,6.38,3.98,10081
2.02,Ideal,J,SI1,62.4,56.0,12591.0,8.03,8.19,5.06,10082
0.33,Premium,G,VVS2,61.0,58.0,752.0,4.44,4.48,2.72,10083
1.01,Premium,F,VS2,58.9,58.0,6271.0,6.59,6.51,3.86,10084
1.26,Very Good,G,SI1,63.0,59.0,6733.0,6.84,6.88,4.32,10085
1.54,Premium,G,VS2,59.8,58.0,12522.0,7.45,7.49,4.47,10086
1.01,Ideal,H,SI1,61.2,56.0,5664.0,6.44,6.47,3.95,10087
0.97,Premium,F,SI1,62.7,59.0,4561.0,6.28,6.31,3.95,10088
0.28,Ideal,D,VS2,62.4,57.0,625.0,4.2,4.16,2.61,10089
0.32,Good,D,SI1,63.8,55.0,706.0,4.36,4.35,2.78,10090
1.0,Very Good,D,SI2,63.3,60.0,4295.0,6.29,6.19,3.95,10091
0.35,Premium,F,VS2,62.1,60.0,706.0,4.45,4.51,2.78,10092
0.33,Ideal,H,VS1,61.5,56.0,579.0,4.44,4.47,2.74,10093
0.54,Premium,H,VS1,60.8,61.0,1637.0,5.29,5.23,3.2,10094
0.51,Ideal,H,SI1,62.1,55.0,1331.0,5.17,5.15,3.2,10095
1.51,Very Geod,E,VS2,60.1,58.0,14889.0,7.51,7.57,4.53,10096
0.32,Ideal,D,VS2,61.9,55.0,758.0,4.39,4.43,2.73,10097
0.7,Good,G,SI1,62.7,59.0,2209.0,5.57,5.63,3.51,10098
0.31,Very Good,G,VVS1,62.5,57.0,816.0,4.3,4.4,2.72,10099
0.39,Ideal,I,VVS1,60.8,56.0,805.0,4.76,4.78,2.9,10100
1.01,Premium,F,SI2,62.2,59.0,4416.0,6.41,6.45,4.0,10101
0.4,Ideal,E,VS1,62.0,54.0,1125.0,4.77,4.74,2.95,10102
0.7,Premium,H,VVS1,58.3,60.0,2603.0,5.83,5.8,3.39,10103
1.2,Premium,H,SI1,62.9,55.0,5975.0,6.77,6.74,4.25,10104
1.0,Premium,H,SI1,59.0,60.0,4389.0,6.52,6.56,3.86,10105
0.36,Premium,E,SI2,61.5,61.0,518.0,4.63,4.57,2.83,10106
0.53,Ideal,D,VS2,61.4,55.0,1956.0,5.25,5.21,3.21,10107
1.53,Ideal,I,VS1,62.8,55.0,10796.0,7.4,7.35,4.63,10108
0.74,Ideal,G,VS1,60.9,55.0,3635.0,5.84,5.91,3.58,10109
0.3,Premium,J,SI1,62.7,59.0,450.0,4.27,4.21,2.66,10110
1.0,Very Good,G,VS2,63.4,57.0,5806.0,6.31,6.27,3.99,10111
0.53,Ideal,D,VS2,61.7,55.0,1722.0,5.2,5.24,3.22,10112
1.1,Very Good,I,SI2,60.5,59.0,4202.0,6.65,6.71,4.04,10113
0.43,Good,D,SI1,63.4,55.0,774.0,4.78,4.84,3.05,10114
1.27,Premium,H,SI1,60.2,58.0,6892.0,7.04,6.99,4.22,10115
0.29,Ideal,D,VS1,62.9,55.0,647.0,4.25,4.21,2.66,10116
1.9,Premium,J,SI1,61.9,57.0,10885.0,7.98,7.95,4.93,10117
1.04,Ideal,F,VS2,61.1,57.0,7508.0,6.52,6.54,3.99,10118
0.3,Premium,H,VS1,62.6,59.0,526.0,4.26,4.3,2.68,10119
0.34,Premium,E,VS2,60.9,60.0,745.0,4.49,4.51,2.74,10120
0.33,Ideal,H,VVS2,61.7,56.0,666.0,4.41,4.44,2.73,10121
0.71,Very Good,E,VVS2,63.4,58.0,3340.0,5.64,5.69,3.59,10122
0.71,Very Geod,G,SI1,61.1,61.0,1942.0,5.71,5.72,3.49,10123
0.51,Ideal,G,VVS2,61.6,56.0,1750.0,5.12,5.14,3.16,10124
0.32,Ideal,D,VVS1,61.0,57.0,1064.0,4.45,4.43,2.71,10125
1.21,Good,J,SI2,63.7,55.0,4269.0,6.81,6.75,4.32,10126
1.05,Ideal,F,VVS2,61.9,57.0,8870.0,6.5,6.52,4.03,10127
0.31,Ideal,F,IF,62.0,54.0,914.0,4.38,4.4,2.72,10128
1.01,Good,H,SI2,63.7,55.0,4072.0,6.37,6.32,4.04,10129
0.39,Ideal,F,VS2,62.3,55.0,971.0,4.69,4.71,2.93,10130
0.41,Ideal,E,VS1,62.0,54.0,1153.0,4.79,4.76,2.96,10131
41.9846511236392,Ideal,F,VS1,61.1,55.0,8953.0,6.74,6.78,4.13,10132
1.52,Premium,G,SI2,60.9,57.0,8299.0,7.5,7.44,4.55,10133
0.35,Ideal,E,VS2,61.6,56.0,767.0,4.52,4.54,2.79,10134
0.41,Ideal,D,SI1,61.4,56.0,791.0,4.77,4.8,2.94,10135
1.26,Premium,D,VVS2,60.5,58.0,14663.0,6.99,7.03,4.24,10136
0.41,Very Good,H,VVS2,61.3,54.0,839.0,4.75,4.87,2.95,10137
1.0,Ideal,E,SI1,61.4,57.0,5555.0,6.43,6.5,3.97,10138
1.53,Premium,I,SI1,61.5,59.0,8911.0,7.39,7.32,4.52,10139
0.41,Premium,E,SI2,62.8,58.0,818.0,4.73,4.69,2.96,10140
0.46,Very Good,D,VS2,63.2,56.0,1262.0,4.92,4.89,3.1,10141
0.3,Good,D,SI2,63.2,57.0,447.0,4.21,4.24,2.67,10142
0.34,Ideal,G,VS2,61.5,56.0,765.0,4.5,4.47,2.76,10143
0.5,Very Good,F,VS2,62.9,57.0,1436.0,5.06,5.11,3.2,10144
1.01,Fair,I,VS2,68.7,58.0,3597.0,6.14,6.0,4.19,10145
0.3,Ideal,E,VS2,61.5,55.0,658.0,4.32,4.4,2.68,10146
0.32,Ideal,G,VS1,62.3,55.0,828.0,4.4,4.37,2.73,10147
0.3,Ideal,H,VVS2,62.4,56.0,590.0,4.28,4.31,2.68,10148
0.3,Premium,E,SI1,62.5,59.0,675.0,4.3,4.28,2.68,10149
0.7,Ideal,E,VS1,61.2,56.0,4000.0,5.72,5.75,3.51,10150
1.69,Ideal,H,I1,62.0,56.0,6757.0,7.66,7.61,4.73,10151
0.33,Ideal,G,IF,61.9,54.0,984.0,4.42,4.46,2.75,10152
0.73,Premium,F,SI2,60.2,59.0,1971.0,5.87,5.82,3.52,10153
0.9,Premium,E,VS2,62.9,58.0,4334.0,6.15,6.12,3.86,10154
0.51,Ideal,F,SI2,61.4,56.0,1286.0,5.14,5.18,3.17,10155
0.52,Ideal,G,VS1,60.9,56.0,1662.0,5.2,5.24,3.18,10156
0.39,Ideal,G,IF,61.6,56.0,1201.0,4.69,4.73,2.9,10157
0.74,Premium,E,VS2,62.7,58.0,3228.0,5.77,5.72,3.6,10158
1.61,Ideal,E,SI2,63.0,60.0,11090.0,7.45,7.42,4.68,10159
0.7,Fair,H,VS1,67.2,55.0,1811.0,5.48,5.54,3.7,10160
0.9,Very Good,E,SI2,63.5,58.0,3697.0,6.08,6.14,3.88,10161
0.71,Good,E,SI1,60.8,62.0,2511.0,5.7,5.74,3.48,10162
0.54,Ideal,H,VS2,61.5,55.0,1453.0,5.25,5.28,3.24,10163
0.71,Ideal,F,VS1,62.1,55.0,2839.0,5.82,5.68,3.57,10164
0.39,Very Good,J,VVS1,62.5,58.0,718.0,4.61,4.67,2.9,10165
